"skill_name","demand_count","avg_salary_per_skill"
"cassandra","6","275000"
"unreal","1","222000"
"splunk","5","218000"
"vba","2","213000"
"perl","2","211000"
"spring","5","211000"
"c#","12","208000"
"neo4j","8","208000"
"hadoop","61","202000"
"asana","1","200000"
"qlik","5","197000"
"airtable","2","196000"
"slack","2","195000"
"flask","11","195000"
"airflow","54","194000"
"spark","175","194000"
"c++","29","193000"
"seaborn","9","193000"
"express","17","192000"
"go","85","192000"
"kafka","17","192000"
"java","53","191000"
"ggplot2","3","188000"
"sharepoint","2","188000"
"css","2","188000"
"planner","1","187000"
"r","286","187000"
"scala","68","187000"
"tidyverse","2","186000"
"gdpr","8","186000"
"matlab","22","186000"
"postgresql","4","186000"
"redis","2","185000"
"pytorch","104","184000"
"zoom","3","183000"
"python","636","183000"
"ringcentral","2","183000"
"plotly","14","182000"
"watson","3","182000"
"matplotlib","26","182000"
"sql","498","181000"
"tableau","128","181000"
"c","34","180000"
"no-sql","2","180000"
"flow","29","180000"
"aws","154","180000"
"keras","27","180000"
"outlook","6","180000"
"databricks","36","179000"
"elasticsearch","7","179000"
"tensorflow","114","179000"
"dynamodb","6","178000"
"sql server","7","178000"
"ibm cloud","1","178000"
"html","3","178000"
"numpy","59","178000"
"opencv","4","178000"
"crystal","3","178000"
"word","9","178000"
"assembly","1","177000"
"excel","61","177000"
"mongodb","8","177000"
"nltk","8","177000"
"powerpoint","17","177000"
"react","3","177000"
"azure","67","177000"
"vue","4","177000"
"linux","16","176000"
"bigquery","34","176000"
"unify","3","176000"
"gcp","46","175000"
"datarobot","2","175000"
"julia","3","175000"
"swift","1","175000"
"atlassian","7","175000"
"aurora","2","175000"
"theano","3","174000"
"scikit-learn","64","174000"
"hugging face","5","174000"
"mxnet","3","174000"
"bash","1","174000"
"nosql","34","174000"
"terminal","8","173000"
"pandas","81","173000"
"power bi","30","173000"
"looker","52","173000"
"snowflake","63","173000"
"pyspark","29","172000"
"windows","7","172000"
"git","71","172000"
"kubernetes","12","171000"
"jira","11","171000"
"redshift","24","171000"
"sap","6","171000"
"sas","74","171000"
"django","7","171000"
"shell","5","170000"
"jenkins","7","170000"
"mysql","12","170000"
"oracle","14","169000"
"docker","34","168000"
"jupyter","28","168000"
"phoenix","1","168000"
"javascript","16","168000"
"angular","2","167000"
"github","19","167000"
"ansible","1","166000"
"rust","1","166000"
"spss","3","165000"
"unix","1","165000"
"sqlite","1","165000"
"fastapi","2","163000"
"alteryx","3","163000"
"gitlab","9","162000"
"confluence","7","160000"
"ssis","4","159000"
"cognos","2","159000"
"terraform","1","158000"
"svn","1","158000"
"microstrategy","1","158000"
"unity","2","158000"
"golang","1","155000"
"fortran","1","154000"
"bitbucket","2","154000"
